,,,,2015,,,,,,,,,,,,2015
,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASP,NumOfInc: Documented Use of Force,,,12,0,3,4,6,2,6,1,3,7,4,2,50
CAC,NumOfInc: Documented Use of Force,,,1,3,2,6,3,1,1,1,7,1,0,1,27
CAL,NumOfInc: Documented Use of Force,,,16,24,22,12,24,23,28,29,37,17,19,19,270
CCC,NumOfInc: Documented Use of Force,,,15,12,11,16,14,13,11,7,1,9,9,16,134
CCI,NumOfInc: Documented Use of Force,,,7,12,13,5,12,14,17,12,13,19,7,10,141
CCWF,NumOfInc: Documented Use of Force,,,16,12,11,10,4,8,15,9,7,11,11,15,129
CEN,NumOfInc: Documented Use of Force,,,10,7,11,9,14,9,8,12,13,11,7,3,114
CHCF,NumOfInc: Documented Use of Force,,,16,12,18,22,17,15,13,26,17,22,25,25,228
CIM,NumOfInc: Documented Use of Force,,,9,5,9,6,13,8,10,7,7,8,9,6,97
CIW,NumOfInc: Documented Use of Force,,,14,7,8,14,13,10,12,9,23,15,14,20,159
CMC,NumOfInc: Documented Use of Force,,,8,7,10,5,11,11,9,8,11,13,10,15,118
CMF,NumOfInc: Documented Use of Force,,,12,7,6,10,5,13,21,26,17,12,3,14,146
COR,NumOfInc: Documented Use of Force,,,18,17,26,29,40,20,38,14,27,39,34,23,325
CRC,NumOfInc: Documented Use of Force,,,12,3,9,4,1,8,2,3,4,4,5,3,58
CTF,NumOfInc: Documented Use of Force,,,3,2,6,1,2,5,3,4,2,6,2,2,38
CVSP,NumOfInc: Documented Use of Force,,,2,2,4,3,0,2,1,1,2,0,0,1,18
DVI,NumOfInc: Documented Use of Force,,,1,12,12,9,6,8,12,11,4,11,9,12,107
FSP,NumOfInc: Documented Use of Force,,,7,8,5,7,5,7,2,7,7,8,1,0,64
HDSP,NumOfInc: Documented Use of Force,,,20,13,28,15,24,23,21,28,22,17,23,22,256
ISP,NumOfInc: Documented Use of Force,,,8,4,7,7,5,9,1,13,10,9,9,7,89
KVSP,NumOfInc: Documented Use of Force,,,25,32,21,27,25,23,34,33,31,33,24,23,331
LAC,NumOfInc: Documented Use of Force,,,32,42,37,31,33,36,45,44,37,34,43,45,459
MCSP,NumOfInc: Documented Use of Force,,,18,10,23,24,26,25,24,22,23,16,25,16,252
NKSP,NumOfInc: Documented Use of Force,,,14,14,18,22,15,21,24,19,31,19,17,19,233
PBSP,NumOfInc: Documented Use of Force,,,4,7,6,8,11,17,13,5,6,7,8,9,101
PVSP,NumOfInc: Documented Use of Force,,,17,7,11,8,6,8,7,6,8,7,10,10,105
RJD,NumOfInc: Documented Use of Force,,,14,19,19,8,13,18,18,26,14,14,9,19,191
SAC,NumOfInc: Documented Use of Force,,,39,32,57,38,58,41,54,46,48,62,33,48,556
SATF,NumOfInc: Documented Use of Force,,,13,15,14,17,15,15,35,20,10,16,10,17,197
SCC,NumOfInc: Documented Use of Force,,,7,15,7,7,8,7,3,4,3,5,5,2,73
SOL,NumOfInc: Documented Use of Force,,,10,12,15,14,17,10,10,8,14,14,8,5,137
SQ,NumOfInc: Documented Use of Force,,,8,7,3,12,9,12,5,16,6,10,12,9,109
SVSP,NumOfInc: Documented Use of Force,,,40,24,39,41,36,29,37,41,34,41,40,37,439
VSPW,NumOfInc: Documented Use of Force,,,0,5,3,1,2,1,2,2,1,3,1,4,25
WSP,NumOfInc: Documented Use of Force,,,22,17,22,11,20,27,11,21,17,22,14,21,225
Total - All Institution,,,,470,427,516,463,513,499,553,541,517,542,460,500,"6,001"
