,,,,2017,,,,,,,,,,,,2017
,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASP,NumOfInc: Documented Use of Force,,,1,5,2,2,6,5,2,5,8,3,1,1,41
CAC,NumOfInc: Documented Use of Force,,,2,0,2,2,1,0,4,7,4,6,0,3,31
CAL,NumOfInc: Documented Use of Force,,,27,19,18,23,25,32,20,26,23,20,22,17,272
CCC,NumOfInc: Documented Use of Force,,,6,9,9,6,8,9,9,8,12,7,7,7,97
CCI,NumOfInc: Documented Use of Force,,,24,26,35,35,30,38,32,35,27,26,24,35,367
CCWF,NumOfInc: Documented Use of Force,,,31,32,22,25,31,22,31,19,22,23,25,34,317
CEN,NumOfInc: Documented Use of Force,,,10,13,17,14,7,17,12,11,5,11,12,12,141
CHCF,NumOfInc: Documented Use of Force,,,25,23,20,26,16,23,23,21,19,31,23,21,271
CIM,NumOfInc: Documented Use of Force,,,4,7,11,7,4,5,7,5,2,9,2,6,69
CIW,NumOfInc: Documented Use of Force,,,11,16,11,19,4,14,12,14,6,3,9,9,128
CMC,NumOfInc: Documented Use of Force,,,12,13,7,16,15,11,19,21,10,6,16,13,159
CMF,NumOfInc: Documented Use of Force,,,15,15,32,15,15,16,9,14,15,17,19,13,195
COR,NumOfInc: Documented Use of Force,,,51,35,42,32,40,39,41,49,35,43,30,41,478
CRC,NumOfInc: Documented Use of Force,,,5,2,2,4,4,5,6,4,1,2,3,8,46
CTF,NumOfInc: Documented Use of Force,,,3,3,4,6,2,2,1,5,0,0,5,1,32
CVSP,NumOfInc: Documented Use of Force,,,3,0,1,0,0,0,2,3,0,0,0,1,10
DVI,NumOfInc: Documented Use of Force,,,2,9,9,7,11,7,17,11,14,14,13,8,122
FSP,NumOfInc: Documented Use of Force,,,9,7,5,5,6,6,8,5,4,3,4,4,66
HDSP,NumOfInc: Documented Use of Force,,,12,22,13,13,18,29,18,22,20,31,32,26,256
ISP,NumOfInc: Documented Use of Force,,,6,2,6,6,8,5,5,4,5,6,7,2,62
KVSP,NumOfInc: Documented Use of Force,,,28,36,37,24,41,47,49,43,54,27,36,47,469
LAC,NumOfInc: Documented Use of Force,,,39,44,48,54,48,30,48,35,42,44,39,35,506
MCSP,NumOfInc: Documented Use of Force,,,25,23,25,26,23,15,20,37,40,26,23,25,308
NKSP,NumOfInc: Documented Use of Force,,,20,15,12,14,16,23,11,16,10,18,8,15,178
PBSP,NumOfInc: Documented Use of Force,,,10,8,9,9,11,6,3,6,10,19,8,10,109
PVSP,NumOfInc: Documented Use of Force,,,7,7,10,7,8,8,6,8,10,7,7,9,94
RJD,NumOfInc: Documented Use of Force,,,16,22,13,18,21,22,25,26,18,28,19,20,248
SAC,NumOfInc: Documented Use of Force,,,48,34,31,38,53,42,54,53,39,33,50,30,505
SATF,NumOfInc: Documented Use of Force,,,18,20,22,12,14,18,16,22,17,11,14,18,202
SCC,NumOfInc: Documented Use of Force,,,9,6,2,5,5,1,1,8,4,7,4,6,58
SOL,NumOfInc: Documented Use of Force,,,14,13,10,9,18,5,13,10,9,9,7,5,122
SQ,NumOfInc: Documented Use of Force,,,12,13,10,11,19,12,12,18,10,9,16,12,154
SVSP,NumOfInc: Documented Use of Force,,,51,33,34,36,33,42,35,37,35,36,44,32,448
VSPW,NumOfInc: Documented Use of Force,,,0,1,0,0,4,1,4,3,5,4,4,4,30
WSP,NumOfInc: Documented Use of Force,,,19,23,13,20,26,17,21,13,16,12,21,16,217
Total - All Institutions,,,,575,556,544,546,591,574,596,624,551,551,554,546,"6,808"
