,,,,2016,,,,,,,,,,,,2016
,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASP,NumOfInc: Documented Use of Force,,,3,3,6,5,2,0,1,1,0,5,1,4,31
CAC,NumOfInc: Documented Use of Force,,,0,1,1,1,0,1,2,1,0,0,0,2,9
CAL,NumOfInc: Documented Use of Force,,,22,7,18,17,26,20,16,22,18,17,24,19,226
CCC,NumOfInc: Documented Use of Force,,,7,7,5,11,12,13,10,14,8,8,8,8,111
CCI,NumOfInc: Documented Use of Force,,,17,9,14,20,24,15,28,21,20,22,20,26,236
CCWF,NumOfInc: Documented Use of Force,,,7,17,9,15,18,13,23,20,19,13,17,17,188
CEN,NumOfInc: Documented Use of Force,,,6,7,6,5,10,18,9,12,15,17,10,4,119
CHCF,NumOfInc: Documented Use of Force,,,25,16,23,25,23,25,24,20,23,23,31,28,286
CIM,NumOfInc: Documented Use of Force,,,8,8,4,3,3,9,7,7,11,5,5,6,76
CIW,NumOfInc: Documented Use of Force,,,11,26,13,8,23,15,14,13,16,8,10,11,168
CMC,NumOfInc: Documented Use of Force,,,10,7,9,13,16,13,20,11,23,24,19,13,178
CMF,NumOfInc: Documented Use of Force,,,7,9,9,12,20,18,11,10,16,10,12,10,144
COR,NumOfInc: Documented Use of Force,,,15,30,33,35,33,32,26,41,27,36,25,35,368
CRC,NumOfInc: Documented Use of Force,,,11,6,3,6,6,4,6,4,5,2,8,5,66
CTF,NumOfInc: Documented Use of Force,,,6,2,6,2,3,3,3,5,3,2,0,1,36
CVSP,NumOfInc: Documented Use of Force,,,4,0,2,3,1,2,0,0,0,1,1,0,14
DVI,NumOfInc: Documented Use of Force,,,9,5,9,4,10,6,8,3,5,5,6,6,76
FSP,NumOfInc: Documented Use of Force,,,6,4,1,3,2,5,4,6,2,5,2,2,42
HDSP,NumOfInc: Documented Use of Force,,,22,22,23,29,24,14,22,20,18,16,14,17,241
ISP,NumOfInc: Documented Use of Force,,,10,7,9,8,6,11,6,9,7,6,6,6,91
KVSP,NumOfInc: Documented Use of Force,,,28,25,36,31,34,42,42,42,41,40,52,28,441
LAC,NumOfInc: Documented Use of Force,,,25,28,30,41,29,36,39,27,27,34,37,28,381
MCSP,NumOfInc: Documented Use of Force,,,22,23,21,20,35,19,20,31,21,20,18,28,278
NKSP,NumOfInc: Documented Use of Force,,,12,15,17,26,25,27,18,11,17,22,15,23,228
PBSP,NumOfInc: Documented Use of Force,,,3,21,7,13,7,20,11,9,9,12,11,8,131
PVSP,NumOfInc: Documented Use of Force,,,6,6,6,11,10,8,8,10,9,6,11,7,98
RJD,NumOfInc: Documented Use of Force,,,15,21,26,29,26,24,16,25,11,25,24,17,259
SAC,NumOfInc: Documented Use of Force,,,52,48,51,41,46,65,42,46,42,33,35,56,557
SATF,NumOfInc: Documented Use of Force,,,14,11,21,12,21,11,10,26,10,17,10,22,185
SCC,NumOfInc: Documented Use of Force,,,5,10,9,8,5,6,9,4,5,2,2,7,72
SOL,NumOfInc: Documented Use of Force,,,10,9,9,7,9,7,14,11,4,12,5,9,106
SQ,NumOfInc: Documented Use of Force,,,7,5,12,7,9,14,21,11,9,15,17,10,137
SVSP,NumOfInc: Documented Use of Force,,,40,48,42,38,43,42,49,45,53,48,45,28,521
VSPW,NumOfInc: Documented Use of Force,,,0,5,2,3,4,3,3,2,0,5,2,7,36
WSP,NumOfInc: Documented Use of Force,,,17,26,25,19,21,24,23,20,17,19,15,19,245
Total - All Institutions,,,,462,494,517,531,586,585,565,560,511,535,518,517,"6,381"
