,,,,2019,,,,,,,,,,,,2019
,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASP,NumOfInc: Documented Use of Force,,,4,2,9,7,11,10,5,18,5,11,15,10,107
CAC,NumOfInc: Documented Use of Force,,,4,4,4,3,2,1,4,5,1,5,4,5,42
CAL,NumOfInc: Documented Use of Force,,,13,20,21,18,20,20,24,23,21,16,18,21,235
CCC,NumOfInc: Documented Use of Force,,,11,7,12,7,17,20,19,44,11,16,11,11,186
CCI,NumOfInc: Documented Use of Force,,,44,33,38,40,57,47,26,35,46,27,28,31,452
CCWF,NumOfInc: Documented Use of Force,,,28,18,38,40,26,28,33,29,30,33,34,35,372
CEN,NumOfInc: Documented Use of Force,,,8,11,14,14,12,3,10,8,10,17,11,9,127
CHCF,NumOfInc: Documented Use of Force,,,26,20,28,19,25,25,20,22,27,23,19,10,264
CIM,NumOfInc: Documented Use of Force,,,9,5,2,3,10,9,6,6,6,4,6,2,68
CIW,NumOfInc: Documented Use of Force,,,6,5,7,14,10,13,11,10,12,6,4,13,111
CMC,NumOfInc: Documented Use of Force,,,12,9,12,16,14,3,13,16,15,13,9,9,141
CMF,NumOfInc: Documented Use of Force,,,11,19,13,14,27,26,18,13,23,26,32,21,243
COR,NumOfInc: Documented Use of Force,,,57,59,61,60,54,62,52,48,50,41,42,24,610
CRC,NumOfInc: Documented Use of Force,,,13,5,9,4,14,13,9,8,8,7,5,12,107
CTF,NumOfInc: Documented Use of Force,,,5,3,7,3,9,2,6,3,7,4,3,4,56
CVSP,NumOfInc: Documented Use of Force,,,2,4,5,6,8,5,8,2,4,6,3,2,55
DVI,NumOfInc: Documented Use of Force,,,3,16,11,12,19,14,11,9,11,7,13,5,131
FSP,NumOfInc: Documented Use of Force,,,10,13,17,13,26,9,17,15,15,7,8,7,157
HDSP,NumOfInc: Documented Use of Force,,,28,23,24,38,29,23,26,37,36,34,29,30,357
ISP,NumOfInc: Documented Use of Force,,,4,6,11,9,4,6,13,6,8,16,7,6,96
KVSP,NumOfInc: Documented Use of Force,,,53,59,58,57,58,69,52,64,44,57,57,54,682
LAC,NumOfInc: Documented Use of Force,,,51,33,46,54,62,41,63,44,47,48,46,33,568
MCSP,NumOfInc: Documented Use of Force,,,21,24,28,29,33,15,21,22,23,19,29,21,285
NKSP,NumOfInc: Documented Use of Force,,,19,14,17,14,14,20,33,22,21,35,17,28,254
PBSP,NumOfInc: Documented Use of Force,,,14,15,14,9,14,7,15,17,10,10,14,2,141
PVSP,NumOfInc: Documented Use of Force,,,21,11,8,14,16,22,13,17,23,17,16,10,188
RJD,NumOfInc: Documented Use of Force,,,18,17,17,20,22,11,21,18,16,15,15,14,204
SAC,NumOfInc: Documented Use of Force,,,55,38,46,59,51,63,69,62,62,72,59,6,642
SATF,NumOfInc: Documented Use of Force,,,10,19,18,24,25,17,20,27,23,20,19,15,237
SCC,NumOfInc: Documented Use of Force,,,9,8,14,23,34,22,20,18,9,10,8,13,188
SOL,NumOfInc: Documented Use of Force,,,17,12,10,15,19,15,15,16,20,19,12,24,194
SQ,NumOfInc: Documented Use of Force,,,17,6,7,9,12,13,10,22,22,18,9,7,152
SVSP,NumOfInc: Documented Use of Force,,,51,52,53,52,50,59,54,43,57,30,47,49,597
VSPW,NumOfInc: Documented Use of Force,,,4,4,7,3,5,5,2,2,1,2,3,4,42
WSP,NumOfInc: Documented Use of Force,,,22,14,29,19,22,34,23,42,31,29,33,22,320
Total - All Institutions,,,,680,608,715,741,831,752,762,793,755,720,685,569,"8,611"
